AVONET 2022;BirdLife;Rational
Polihierax insignis ;Neohierax insignis;
Arborophila charltonii ;Tropicoperdix charltonii;
Arborophila chloropus;Tropicoperdix chloropus;
Arborophila graydoni;Tropicoperdix graydoni;
Arborophila tonkinensis;Tropicoperdix tonkinensis;
Antigone antigone;Grus antigone;
Antigone canadensis;Grus canadensis;
Antigone rubicunda;Grus rubicunda;
Antigone vipio;Grus vipio;
Calendulauda alopex;Calendulauda africanoides;
Mirafra ashi;Mirafra somalica;
Mirafra gilletti;Calendulauda gilletti;
Mirafra rufa;Calendulauda rufa;
Edolisoma parvulum;Coracina parvula;
Aphrastura masafucrae;Aphrastura masafuerae;
Corvinella corvina;Lanius corvinus;
Urolestes melanoleucus;Lanius melanoleucus;
Chatarrhaea gularis;Argya gularis;
Chatarrhaea longirostris;Argya longirostris;
Garrulax albogularis;Pterorhinus albogularis;
Garrulax berthemyi;Pterorhinus berthemyi;
Garrulax bieti;Ianthocincla bieti;
Garrulax caerulatus;Pterorhinus caerulatus;
Garrulax calvus;Melanocichla calva;
Garrulax chinensis;Pterorhinus chinensis;
Garrulax cineraceus;Ianthocincla cineracea;
Garrulax cinereiceps;Ianthocincla cinereiceps;
Garrulax cinereifrons;Argya cinereifrons;
Garrulax courtoisi;NA;No range map
Garrulax davidi;Pterorhinus davidi;
Garrulax delesserti;Pterorhinus delesserti;
Garrulax galbanus;Pterorhinus galbanus;
Garrulax gularis;Pterorhinus gularis;
Garrulax konkakinhensis;Ianthocincla konkakinhensis;
Garrulax koslowi;Pterorhinus koslowi;
Garrulax lanceolatus;Pterorhinus lanceolatus;
Garrulax lugubris;Melanocichla lugubris;
Garrulax lunulatus;Ianthocincla lunulata;
Garrulax maximus;Ianthocincla maxima;
Garrulax mitratus;Pterorhinus mitratus;
Garrulax monachus;Pterorhinus monachus;
Garrulax nuchalis;Pterorhinus nuchalis;
Garrulax ocellatus;Ianthocincla ocellata;
Garrulax pectoralis;Pterorhinus pectoralis;
Garrulax perspicillatus;Pterorhinus perspicillatus;
Garrulax poecilorhynchus;Pterorhinus poecilorhynchus;
Garrulax ruficeps;Pterorhinus ruficeps;
Garrulax ruficollis;Pterorhinus ruficollis;
Garrulax rufogularis;Ianthocincla rufogularis;
Garrulax sannio;Pterorhinus sannio;
Garrulax sukatschewi;Ianthocincla sukatschewi;
Garrulax treacheri;Pterorhinus treacheri;
Garrulax vassali;Pterorhinus vassali;
Garrulax waddelli;Pterorhinus waddelli;
Garrulax woodi;Pterorhinus woodi;
Turdoides affinis;Argya affinis;
Turdoides rufescens;Argya rufescens;
Turdoides somervillei;Argya somervillei;
Turdoides striata;Argya striata;
Amphilais seebohmi;Bradypterus seebohmi;
Bradypterus alfredi;Locustella alfredi;
Buettikoferella bivittata;Cincloramphus bivittatus;
Chaetornis striata;Schoenicola striatus;
Locustella amnicola;Helopsaltes amnicola;
Locustella certhiola;Helopsaltes certhiola;
Locustella fasciolata;Helopsaltes fasciolata;
Locustella ochotensis;Helopsaltes ochotensis;
Locustella pleskei;Helopsaltes pleskei;
Locustella portenta;NA;Not in BL
Locustella pryeri;Helopsaltes pryeri;
Schoenicola brevirostris;Catriscus brevirostris;
Melidectes fuscus;Melionyx fuscus;
Melidectes nouhuysi;Melionyx nouhuysi;
Melidectes princeps;Melionyx princeps;
Myzomela irianawidodoae;NA;Not in BL
Myzomela prawiradilagae;NA;Not in BL
Myzomela wahe;NA;Not in BL
Rimator albostriatus;Napothera albostriata;
Rimator danjoui;Napothera danjoui;
Rimator malacoptilus;Napothera malacoptila;
Rimator naungmungensis;Napothera naungmungensis;
Rimator pasquieri;Napothera pasquieri;
Trichastoma bicolor;Pellorneum bicolor;
Trichastoma buettikoferi;Pellorneum buettikoferi;
Trichastoma celebense;Pellorneum celebense;
Trichastoma cinereiceps;Pellorneum cinereiceps;
Trichastoma malaccense;Pellorneum malaccense;
Trichastoma pyrrogenys;Pellorneum pyrrogenys;
Trichastoma rostratum;Pellorneum rostratum;
Trichastoma tickelli;Pellorneum tickelli;
Turdinus brevicaudatus;Gypsophila brevicaudata;
Turdinus calcicola;Gypsophila calcicola;
Turdinus crassus;Gypsophila crassa;
Turdinus crispifrons;Gypsophila crispifrons;
Turdinus rufipectus;Gypsophila rufipecta;
Phylloscopus emilsalimi;NA;Not in BL
Phylloscopus suaramerdu;NA;Not in BL
Scytalopus frankeae;NA;Not in BL
Scytalopus krabbei;NA;Not in BL
Scytalopus whitneyi;NA;Not in BL
Rhipidura habibiei;NA;Not in BL
Acridotheres tertius;Acridotheres melanopterus;
Acridotheres tricolor;NA;Same as Acridotheres tertius
Chleuasicus atrosuperciliaris;Suthora atrosuperciliaris;
Cholornis paradoxus;Paradoxornis paradoxus;
Cholornis unicolor;Paradoxornis unicolor;
Conostoma aemodium;Paradoxornis aemodium;
Neosuthora davidiana;Suthora davidiana;
Parophasma galinieri;Sylvia galinieri;
Psittiparus bakeri;Paradoxornis bakeri;
Psittiparus gularis;Paradoxornis gularis;
Psittiparus margaritae;Paradoxornis margaritae;
Psittiparus ruficeps;Paradoxornis ruficeps;
Sinosuthora alphonsiana;Suthora alphonsiana;
Sinosuthora brunnea;Suthora brunnea;
Sinosuthora conspicillata;Suthora conspicillata;
Sinosuthora przewalskii;Suthora przewalskii;
Sinosuthora ricketti;Suthora ricketti;
Sinosuthora webbiana;Suthora webbiana;
Sinosuthora zappeyi;Suthora zappeyi;
Sylvia balearica;Curruca balearica;
Sylvia boehmi;Curruca boehmi;
Sylvia buryi;Curruca buryi;
Sylvia cantillans;Curruca cantillans;
Sylvia communis;Curruca communis;
Sylvia conspicillata;Curruca conspicillata;
Sylvia crassirostris;Curruca crassirostris;
Sylvia curruca;Curruca curruca;
Sylvia deserti;Curruca deserti;
Sylvia deserticola;Curruca deserticola;
Sylvia hortensis;Curruca hortensis;
Sylvia layardi;Curruca layardi;
Sylvia leucomelaena;Curruca leucomelaena;
Sylvia lugens;Curruca lugens;
Sylvia melanocephala;Curruca melanocephala;
Sylvia melanothorax;Curruca melanothorax;
Sylvia mystacea;Curruca mystacea;
Sylvia nana;Curruca nana;
Sylvia nisoria;Curruca nisoria;
Sylvia ruppeli;Curruca ruppeli;
Sylvia sarda;Curruca sarda;
Sylvia subalpina;Curruca subalpina;
Sylvia subcoerulea;Curruca subcoerulea;
Sylvia undata;Curruca undata;
Rhopocichla atriceps;Dumetia atriceps;
Geomalia heinrichi;Zoothera heinrichi;
Yuhina castaniceps;Staphida castaniceps;
Yuhina diademata;Parayuhina diademata;
Yuhina everetti;Staphida everetti;
Yuhina torqueola;Staphida torqueola;
Dinopium rafflesii;Chloropicoides rafflesii;
Tanygnathus everetti;NA;No range map
Gracula robusta;NA;No range map